project,dataset,taxonomy,counts
DAH_CF_ITS,204A_18S_bar741,Eukarya;Fungi_Ascomycota;Saccharomycetes;Saccharomycetales;Family_NA;Candida,1930
DAH_CF_ITS,204A_18S_bar741,Eukarya;Fungi_Ascomycota;Saccharomycetes;Saccharomycetales;Family_NA;Candida;africana,55
DAH_CF_ITS,204A_18S_bar741,Eukarya;Fungi_Ascomycota;Saccharomycetes;Saccharomycetales;Family_NA;Candida;albicans,53
DAH_CF_ITS,204A_18S_bar741,Eukarya;Fungi_Ascomycota;Saccharomycetes;Saccharomycetales;Family_NA;Candida;parapsilosis,1
DAH_CF_ITS,204A_18S_bar741,Eukarya;Fungi_Basidiomycota;Tremellomycetes;Tremellales;Trichosporonaceae;Trichosporon;loubieri,1548
DAH_CF_ITS,204A_18S_bar741,Unknown,373
DAH_CF_ITS,5_18S_bar560,Eukarya;Fungi_Ascomycota;Eurotiomycetes;Chaetothyriales;Herpotrichiellaceae;Exophiala;dermatitidis,2
DAH_CF_ITS,5_18S_bar560,Eukarya;Fungi_Ascomycota;Saccharomycetes;Saccharomycetales;Family_NA;Candida,3
DAH_CF_ITS,5_18S_bar560,Eukarya;Fungi_Basidiomycota,3
DAH_CF_ITS,5_18S_bar560,Eukarya;Fungi_Basidiomycota;Class_NA;Order_NA;Family_NA;Genus_NA;unculturedBasidiomycota,1
DAH_CF_ITS,5_18S_bar560,Eukarya;Fungi_Basidiomycota;Tremellomycetes,1
DAH_CF_ITS,5_18S_bar560,Eukarya;Fungi_Basidiomycota;Tremellomycetes;Tremellales;Trichosporonaceae;Trichosporon;loubieri,5784
DAH_CF_ITS,5_18S_bar560,Eukarya;Fungi_Basidiomycota;Tremellomycetes;Tremellales;Trichosporonaceae;Trichosporon;vadense,1
DAH_CF_ITS,5_18S_bar560,Unknown,4
DAH_CF_ITS,6_18S_bar166,Eukarya,1
DAH_CF_ITS,6_18S_bar166,Eukarya;Fungi_Ascomycota;Saccharomycetes;Saccharomycetales;Family_NA;Candida,6446
DAH_CF_ITS,6_18S_bar166,Eukarya;Fungi_Ascomycota;Saccharomycetes;Saccharomycetales;Family_NA;Candida;africana,29
DAH_CF_ITS,6_18S_bar166,Eukarya;Fungi_Ascomycota;Saccharomycetes;Saccharomycetales;Family_NA;Candida;albicans,49
DAH_CF_ITS,6_18S_bar166,Eukarya;Fungi_Basidiomycota;Tremellomycetes;Tremellales;Trichosporonaceae;Trichosporon;loubieri,1
DAH_CF_ITS,6_18S_bar166,Unknown,18
DAH_CF_ITS,Antifungal_1_post,Eukarya,587
DAH_CF_ITS,Antifungal_1_post,Eukarya;Fungi_Ascomycota,19
DAH_CF_ITS,Antifungal_1_post,Eukarya;Fungi_Ascomycota;Class_NA;Order_NA;Family_NA;Genus_NA;agaricomycete_sp_7406,1
DAH_CF_ITS,Antifungal_1_post,Eukarya;Fungi_Ascomycota;Class_NA;Order_NA;Family_NA;Genus_NA;unculturedAscomycota,5
DAH_CF_ITS,Antifungal_1_post,Eukarya;Fungi_Ascomycota;Class_NA;Order_NA;Family_NA;Genus_NA;unculturedPezizomycotina,2
DAH_CF_ITS,Antifungal_1_post,Eukarya;Fungi_Ascomycota;Dothideomycetes,4
DAH_CF_ITS,Antifungal_1_post,Eukarya;Fungi_Ascomycota;Dothideomycetes;Pleosporales;Pleosporaceae;Epicoccum;sp_ASR_245,1
DAH_CF_ITS,Antifungal_1_post,Eukarya;Fungi_Ascomycota;Eurotiomycetes;Chaetothyriales;Herpotrichiellaceae;Exophiala;dermatitidis,1
DAH_CF_ITS,Antifungal_1_post,Eukarya;Fungi_Ascomycota;Eurotiomycetes;Eurotiales;Trichocomaceae;Aspergillus;unguis,5
DAH_CF_ITS,Antifungal_1_post,Eukarya;Fungi_Ascomycota;Eurotiomycetes;Eurotiales;Trichocomaceae;Emericella;nidulans,1533
DAH_CF_ITS,Antifungal_1_post,Eukarya;Fungi_Ascomycota;Eurotiomycetes;Eurotiales;Trichocomaceae;Penicillium;citreonigrum,1
DAH_CF_ITS,Antifungal_1_post,Eukarya;Fungi_Ascomycota;Eurotiomycetes;Eurotiales;Trichocomaceae;Penicillium;janczewski,3
DAH_CF_ITS,Antifungal_1_post,Eukarya;Fungi_Ascomycota;Pezizomycetes;Pezizales;Sarcoscyphaceae;Phillipsia;domingensis,3
DAH_CF_ITS,Antifungal_1_post,Eukarya;Fungi_Ascomycota;Saccharomycetes;Saccharomycetales,11
DAH_CF_ITS,Antifungal_1_post,Eukarya;Fungi_Ascomycota;Saccharomycetes;Saccharomycetales;Family_NA;Candida,16125
DAH_CF_ITS,Antifungal_1_post,Eukarya;Fungi_Ascomycota;Saccharomycetes;Saccharomycetales;Family_NA;Candida;africana,265
DAH_CF_ITS,Antifungal_1_post,Eukarya;Fungi_Ascomycota;Saccharomycetes;Saccharomycetales;Family_NA;Candida;albicans,118
DAH_CF_ITS,Antifungal_1_post,Eukarya;Fungi_Ascomycota;Saccharomycetes;Saccharomycetales;Family_NA;Candida;dubliniensis,47
DAH_CF_ITS,Antifungal_1_post,Eukarya;Fungi_Ascomycota;Saccharomycetes;Saccharomycetales;Family_NA;Candida;ethanolica,4
DAH_CF_ITS,Antifungal_1_post,Eukarya;Fungi_Ascomycota;Saccharomycetes;Saccharomycetales;Family_NA;Candida;intermedia,28
DAH_CF_ITS,Antifungal_1_post,Eukarya;Fungi_Ascomycota;Saccharomycetes;Saccharomycetales;Family_NA;Candida;labiduridarum,1
