"taxonomy_id","taxonomy"
4396,"Eukarya;Fungi"
33425,"Eukarya;Fungi;"
4397,"Eukarya;Fungi;Ascomycota"
4398,"Eukarya;Fungi;Ascomycota;Ascomycota"
20582,"Eukarya;Fungi;Ascomycota;Ascomycota;Ascobolaceae"
20583,"Eukarya;Fungi;Ascomycota;Ascomycota;Coryneliaceae"
20584,"Eukarya;Fungi;Ascomycota;Ascomycota;Discinaceae et rel.;Helvellaceae_2"
20585,"Eukarya;Fungi;Ascomycota;Ascomycota;Discinaceae et rel.;Morchellaceae"
4399,"Eukarya;Fungi;Ascomycota;Ascomycota;Dothideomycetes"
20586,"Eukarya;Fungi;Ascomycota;Ascomycota;Dothideomycetes;Acrospermum"
4400,"Eukarya;Fungi;Ascomycota;Ascomycota;Dothideomycetes;Delitschia et rel.;Pleosporaceae_2"
20587,"Eukarya;Fungi;Ascomycota;Ascomycota;Helvellaceae_1"
20588,"Eukarya;Fungi;Ascomycota;Ascomycota;Herpotrichiellaceae"
20589,"Eukarya;Fungi;Ascomycota;Ascomycota;Lecanoromycetes_1"
20590,"Eukarya;Fungi;Ascomycota;Ascomycota;Lecanoromycetes_1;Agyriaceae"
20591,"Eukarya;Fungi;Ascomycota;Ascomycota;Lecanoromycetes_1;Baeomycetaceae"
20592,"Eukarya;Fungi;Ascomycota;Ascomycota;Lecanoromycetes_1;Icmadophilaceae"
20593,"Eukarya;Fungi;Ascomycota;Ascomycota;Lecanoromycetes_1;Ostropales"
20594,"Eukarya;Fungi;Ascomycota;Ascomycota;Lecanoromycetes_1;Ostropales;Stigtidaceae"
20595,"Eukarya;Fungi;Ascomycota;Ascomycota;Lecanoromycetes_1;Ostropales;Thelotremataceae"
20596,"Eukarya;Fungi;Ascomycota;Ascomycota;Lecanoromycetes_1;Pertusariaceae_1"
20597,"Eukarya;Fungi;Ascomycota;Ascomycota;Lecanoromycetes_2"
20598,"Eukarya;Fungi;Ascomycota;Ascomycota;Lecanoromycetes_2;Caliciaceae"
20599,"Eukarya;Fungi;Ascomycota;Ascomycota;Lecanoromycetes_2;Parmeliaceae"
20600,"Eukarya;Fungi;Ascomycota;Ascomycota;Lecanoromycetes_2;Peltigeraceae"
20601,"Eukarya;Fungi;Ascomycota;Ascomycota;Lecanoromycetes_2;Sphaerophoraceae"
20602,"Eukarya;Fungi;Ascomycota;Ascomycota;Lecanoromycetes_2;Teloschistaceae"
20603,"Eukarya;Fungi;Ascomycota;Ascomycota;Mycocaliciaceae"
4401,"Eukarya;Fungi;Ascomycota;Ascomycota;Onygenales"
20604,"Eukarya;Fungi;Ascomycota;Ascomycota;Orbiliaceae"
20605,"Eukarya;Fungi;Ascomycota;Ascomycota;Pezizaceae"
4402,"Eukarya;Fungi;Ascomycota;Ascomycota;Saccharomycotina"
20606,"Eukarya;Fungi;Ascomycota;Ascomycota;Saccharomycotina;Arxiozyma"
20607,"Eukarya;Fungi;Ascomycota;Ascomycota;Saccharomycotina;Brettaanomyces _ Dekkera"
20608,"Eukarya;Fungi;Ascomycota;Ascomycota;Saccharomycotina;Candida boleticola"
4403,"Eukarya;Fungi;Ascomycota;Ascomycota;Saccharomycotina;Debaryomyces"
429443,"Eukarya;Fungi;Ascomycota;Ascomycota;Saccharomycotina;Dipodascus et rel.;Galactomyces"
429444,"Eukarya;Fungi;Ascomycota;Ascomycota;Saccharomycotina;Dipodascus et rel.;Geotrichum"
20609,"Eukarya;Fungi;Ascomycota;Ascomycota;Saccharomycotina;Metschnikowia"
429445,"Eukarya;Fungi;Ascomycota;Ascomycota;Saccharomycotina;Phaffomycetaceae"
20610,"Eukarya;Fungi;Ascomycota;Ascomycota;Sarcoscyphaceae_2"
20611,"Eukarya;Fungi;Ascomycota;Ascomycota;Sarcosomataceae"
20612,"Eukarya;Fungi;Ascomycota;Ascomycota;Sclerotiniaceae"
4404,"Eukarya;Fungi;Ascomycota;Ascomycota;Sordariomycetes"
20613,"Eukarya;Fungi;Ascomycota;Ascomycota;Sordariomycetes;Diaporthales et rel.;Ophiostomataceae"
20614,"Eukarya;Fungi;Ascomycota;Ascomycota;Sordariomycetes;Halosphaeriales"
4405,"Eukarya;Fungi;Ascomycota;Ascomycota;Sordariomycetes;Hypocreales_1"
20615,"Eukarya;Fungi;Ascomycota;Ascomycota;Sordariomycetes;Hypocreales_2"
20616,"Eukarya;Fungi;Ascomycota;Ascomycota;Sordariomycetes;Microascales_1"
20617,"Eukarya;Fungi;Ascomycota;Ascomycota;Sordariomycetes;Microascales_2"
4406,"Eukarya;Fungi;Ascomycota;Ascomycota;Sordariomycetes;Sordariales"
20618,"Eukarya;Fungi;Ascomycota;Ascomycota;Sordariomycetes;Sordariales;Meliola"
20619,"Eukarya;Fungi;Ascomycota;Ascomycota;Sordariomycetes;Valsaceae"
20620,"Eukarya;Fungi;Ascomycota;Ascomycota;Sordariomycetes;Xylariales"
20621,"Eukarya;Fungi;Ascomycota;Ascomycota;Sordariomycetes;Xylariales;Xylariaceae"
20622,"Eukarya;Fungi;Ascomycota;Ascomycota;Thelebolaceae"
4407,"Eukarya;Fungi;Ascomycota;Ascomycota;Trichocomaceae"
20623,"Eukarya;Fungi;Ascomycota;Pneumocystis carinii"
20624,"Eukarya;Fungi;Ascomycota;Protomycetaceae"
20625,"Eukarya;Fungi;Ascomycota;Taphrinaceae_1"
4408,"Eukarya;Fungi;Basidiomycota"
20626,"Eukarya;Fungi;Basidiomycota;Bensingtonia"
20627,"Eukarya;Fungi;Basidiomycota;Dacrymycetaceae"
20628,"Eukarya;Fungi;Basidiomycota;Hymenomycetidae"
20629,"Eukarya;Fungi;Basidiomycota;Hymenomycetidae;Agaricaceae_1"
20630,"Eukarya;Fungi;Basidiomycota;Hymenomycetidae;Agaricaceae_2"
20631,"Eukarya;Fungi;Basidiomycota;Hymenomycetidae;Ceratobasidiaceae"
20632,"Eukarya;Fungi;Basidiomycota;Hymenomycetidae;Hymenochaetaceae_1"
20633,"Eukarya;Fungi;Basidiomycota;Hymenomycetidae;Panellus"
20634,"Eukarya;Fungi;Basidiomycota;Hymenomycetidae;Polyporaceae"
20635,"Eukarya;Fungi;Basidiomycota;Sporobolomyces_2"
22668,"Eukarya;Fungi;Blastocladiomycota;Blastocladiomycetes;Blastocladiales;Blastocladiaceae;Allomyces"
33426,"Eukarya;Fungi;Blastocladiomycota;Blastocladiomycetes;Blastocladiales;Blastocladiaceae;Allomyces;"
566729,"Eukarya;Fungi;Blastocladiomycota;Blastocladiomycetes;Blastocladiales;Blastocladiaceae;Allomyces;Allomyces;anomalus"
566726,"Eukarya;Fungi;Blastocladiomycota;Blastocladiomycetes;Blastocladiales;Blastocladiaceae;Allomyces;Allomyces;arbuscula"
563160,"Eukarya;Fungi;Blastocladiomycota;Blastocladiomycetes;Blastocladiales;Blastocladiaceae;Allomyces;Allomyces;javanicus"
566728,"Eukarya;Fungi;Blastocladiomycota;Blastocladiomycetes;Blastocladiales;Blastocladiaceae;Allomyces;Allomyces;macrogynus"
566727,"Eukarya;Fungi;Blastocladiomycota;Blastocladiomycetes;Blastocladiales;Blastocladiaceae;Allomyces;Allomyces;moniliformis"
22669,"Eukarya;Fungi;Blastocladiomycota;Blastocladiomycetes;Blastocladiales;Blastocladiaceae;Blastocladiella"
33427,"Eukarya;Fungi;Blastocladiomycota;Blastocladiomycetes;Blastocladiales;Blastocladiaceae;Blastocladiella;"
562933,"Eukarya;Fungi;Blastocladiomycota;Blastocladiomycetes;Blastocladiales;Blastocladiaceae;Blastocladiella;Blastocladiella;emersonii"
22670,"Eukarya;Fungi;Blastocladiomycota;Blastocladiomycetes;Blastocladiales;Blastocladiaceae;Microallomyces"
33428,"Eukarya;Fungi;Blastocladiomycota;Blastocladiomycetes;Blastocladiales;Blastocladiaceae;Microallomyces;"
21321,"Eukarya;Fungi;Blastocladiomycota;Blastocladiomycetes;Blastocladiales;Catenariaceae;Catenaria"
33429,"Eukarya;Fungi;Blastocladiomycota;Blastocladiomycetes;Blastocladiales;Catenariaceae;Catenaria;"
566725,"Eukarya;Fungi;Blastocladiomycota;Blastocladiomycetes;Blastocladiales;Catenariaceae;Catenaria;Catenaria;anguillulae"
16071,"Eukarya;Fungi;Blastocladiomycota;Blastocladiomycetes;Blastocladiales;Catenariaceae;Catenomyces"
33430,"Eukarya;Fungi;Blastocladiomycota;Blastocladiomycetes;Blastocladiales;Catenariaceae;Catenomyces;"
22671,"Eukarya;Fungi;Blastocladiomycota;Blastocladiomycetes;Blastocladiales;Catenariaceae;Catenophlyctis"
33431,"Eukarya;Fungi;Blastocladiomycota;Blastocladiomycetes;Blastocladiales;Catenariaceae;Catenophlyctis;"
17206,"Eukarya;Fungi;Blastocladiomycota;Blastocladiomycetes;Blastocladiales;Physodermataceae;Physoderma"
33432,"Eukarya;Fungi;Blastocladiomycota;Blastocladiomycetes;Blastocladiales;Physodermataceae;Physoderma;"
562921,"Eukarya;Fungi;Blastocladiomycota;Blastocladiomycetes;Blastocladiales;Physodermataceae;Physoderma;Physoderma;maydis"
18091,"Eukarya;Fungi;Blastocladiomycota;Blastocladiomycetes;Blastocladiales;unclassified Blastocladiales"
33433,"Eukarya;Fungi;Blastocladiomycota;Blastocladiomycetes;Blastocladiales;unclassified Blastocladiales;"
26881,"Eukarya;Fungi;Chytridiomycota"
29269,"Eukarya;Fungi;Chytridiomycota;Chytridiomycetes;Chytridiales"
562934,"Eukarya;Fungi;Chytridiomycota;Chytridiomycetes;Chytridiales;Batrachochytrium;Batrachochytrium;dendrobatidis"
17242,"Eukarya;Fungi;Chytridiomycota;Chytridiomycetes;Chytridiales;Chytridiaceae;Blyttiomyces"
33434,"Eukarya;Fungi;Chytridiomycota;Chytridiomycetes;Chytridiales;Chytridiaceae;Blyttiomyces;"
15205,"Eukarya;Fungi;Chytridiomycota;Chytridiomycetes;Chytridiales;Chytridiaceae;Chytridium"
33435,"Eukarya;Fungi;Chytridiomycota;Chytridiomycetes;Chytridiales;Chytridiaceae;Chytridium;"
566053,"Eukarya;Fungi;Chytridiomycota;Chytridiomycetes;Chytridiales;Chytridiaceae;Chytridium;Chytridium;lagenaria"
566051,"Eukarya;Fungi;Chytridiomycota;Chytridiomycetes;Chytridiales;Chytridiaceae;Chytridium;Chytridium;olla"
17198,"Eukarya;Fungi;Chytridiomycota;Chytridiomycetes;Chytridiales;Chytridiaceae;Chytriomyces"
33436,"Eukarya;Fungi;Chytridiomycota;Chytridiomycetes;Chytridiales;Chytridiaceae;Chytriomyces;"
